timestamp,inference_ms,action,model_type,probs,safety_override,switched
2026-03-25T07:45:01.587064,0.996,2,ppo,"['0.3300', '0.3300', '0.3400']",0,0
2026-03-25T07:45:06.589899,1.524,1,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:45:11.596586,1.420,1,ppo,"['0.3300', '0.3300', '0.3400']",0,0
2026-03-25T07:45:16.598416,1.017,2,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:45:21.604093,0.984,2,ppo,"['0.3300', '0.3300', '0.3400']",0,0
2026-03-25T07:45:26.606411,0.984,0,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:45:31.612878,0.942,0,ppo,"['0.3300', '0.3300', '0.3400']",0,0
2026-03-25T07:45:36.614218,0.958,1,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:45:41.620097,0.993,2,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:45:46.622310,0.991,2,ppo,"['0.3300', '0.3300', '0.3400']",0,0
2026-03-25T07:45:51.628112,0.971,1,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:45:56.630407,1.022,1,ppo,"['0.3300', '0.3300', '0.3400']",0,0
2026-03-25T07:46:01.636077,1.006,2,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:46:06.638314,1.001,2,ppo,"['0.3300', '0.3300', '0.3400']",0,0
2026-03-25T07:46:11.644333,1.208,1,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:46:16.646484,0.975,2,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:46:21.652569,1.081,0,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:46:26.654772,1.257,0,ppo,"['0.3300', '0.3300', '0.3400']",0,0
2026-03-25T07:46:31.660137,1.066,2,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:46:36.662454,1.039,2,ppo,"['0.3300', '0.3300', '0.3400']",0,0
2026-03-25T07:46:41.668628,0.944,0,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:46:46.670911,1.049,1,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:46:51.677046,0.975,1,ppo,"['0.3300', '0.3300', '0.3400']",0,0
2026-03-25T07:46:56.678833,0.977,1,ppo,"['0.3300', '0.3300', '0.3400']",0,0
2026-03-25T07:47:01.685178,0.975,2,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:47:06.687516,1.023,1,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:47:11.693777,0.976,0,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:47:16.696055,0.951,0,ppo,"['0.3300', '0.3300', '0.3400']",0,0
2026-03-25T07:47:21.702496,1.321,2,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:47:26.704284,0.932,0,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:47:31.710048,0.952,0,ppo,"['0.3300', '0.3300', '0.3400']",0,0
2026-03-25T07:47:36.712404,0.963,1,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:47:41.718826,1.136,1,ppo,"['0.3300', '0.3300', '0.3400']",0,0
2026-03-25T07:47:46.720399,1.026,0,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:47:51.726097,0.937,1,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:47:56.728518,1.031,0,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:48:01.734216,1.144,1,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:48:06.736174,1.113,0,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:48:11.741897,0.966,1,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:48:16.743881,1.106,0,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:48:21.750442,1.288,0,ppo,"['0.3300', '0.3300', '0.3400']",0,0
2026-03-25T07:48:26.753326,1.207,1,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:48:31.759602,1.123,1,ppo,"['0.3300', '0.3300', '0.3400']",0,0
2026-03-25T07:48:36.762227,1.268,1,ppo,"['0.3300', '0.3300', '0.3400']",0,0
2026-03-25T07:48:41.768180,1.047,0,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:48:46.770344,1.065,0,ppo,"['0.3300', '0.3300', '0.3400']",0,0
2026-03-25T07:48:51.776060,0.955,1,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:48:56.778482,0.984,1,ppo,"['0.3300', '0.3300', '0.3400']",0,0
2026-03-25T07:49:01.784141,0.979,2,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:49:06.786898,1.259,1,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:49:11.793670,1.238,1,ppo,"['0.3300', '0.3300', '0.3400']",0,0
2026-03-25T07:49:16.796206,1.378,0,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:49:21.802506,0.914,1,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:49:26.804396,0.945,1,ppo,"['0.3300', '0.3300', '0.3400']",0,0
2026-03-25T07:49:31.811154,1.442,0,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:49:36.813585,1.050,2,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:49:41.820063,0.892,2,ppo,"['0.3300', '0.3300', '0.3400']",0,0
2026-03-25T07:49:46.822530,1.004,2,ppo,"['0.3300', '0.3300', '0.3400']",0,0
2026-03-25T07:49:51.829047,1.250,0,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:49:56.830740,0.930,0,ppo,"['0.3300', '0.3300', '0.3400']",0,0
2026-03-25T07:50:01.836072,1.003,0,ppo,"['0.3300', '0.3300', '0.3400']",0,0
2026-03-25T07:50:06.839154,1.345,2,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:50:11.845571,1.003,1,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:50:16.847895,1.257,2,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:50:21.854232,1.036,2,ppo,"['0.3300', '0.3300', '0.3400']",0,0
2026-03-25T07:50:26.856464,0.938,1,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:50:31.862945,1.059,1,ppo,"['0.3300', '0.3300', '0.3400']",0,0
2026-03-25T07:50:36.864724,0.952,1,ppo,"['0.3300', '0.3300', '0.3400']",0,0
2026-03-25T07:50:41.871290,1.273,1,ppo,"['0.3300', '0.3300', '0.3400']",0,0
2026-03-25T07:50:46.872997,1.104,2,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:50:51.879616,1.242,2,ppo,"['0.3300', '0.3300', '0.3400']",0,0
2026-03-25T07:50:56.881915,1.233,1,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:51:01.888161,1.030,2,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:51:06.889768,0.990,2,ppo,"['0.3300', '0.3300', '0.3400']",0,0
2026-03-25T07:51:11.895184,0.988,1,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:51:16.898203,1.624,1,ppo,"['0.3300', '0.3300', '0.3400']",0,0
2026-03-25T07:51:21.906071,0.998,1,ppo,"['0.3300', '0.3300', '0.3400']",0,0
2026-03-25T07:51:26.907605,1.029,1,ppo,"['0.3300', '0.3300', '0.3400']",0,0
2026-03-25T07:51:31.913069,0.996,0,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:51:36.916034,1.524,2,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:51:41.922746,1.615,0,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:51:46.925191,1.614,0,ppo,"['0.3300', '0.3300', '0.3400']",0,0
2026-03-25T07:51:51.931816,1.692,2,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:51:56.934471,1.599,1,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:52:01.940965,1.528,0,ppo,"['0.3300', '0.3300', '0.3400']",0,1
2026-03-25T07:52:06.943609,1.729,2,ppo,"['0.3300', '0.3300', '0.3400']",0,1
