timestamp,datapath_id,port_no,rx_packets,rx_bytes,rx_errors,rx_dropped,tx_packets,tx_bytes,tx_errors,tx_dropped,collisions,duration_sec,duration_nsec,label,scenario
2026-03-22T10:52:55.917449,1,4294967294,19,988,0,0,0,0,0,0,0,11,131000000,NORMAL,video_conference
2026-03-22T10:52:55.917721,7,1,1,52,0,0,4,208,0,0,0,11,73000000,NORMAL,video_conference
2026-03-22T10:52:55.917721,7,2,8,716,0,0,4,208,0,0,0,11,74000000,NORMAL,video_conference
2026-03-22T10:52:55.917721,7,3,9,806,0,0,4,208,0,0,0,11,73000000,NORMAL,video_conference
2026-03-22T10:52:55.917721,7,4,8,716,0,0,4,208,0,0,0,11,74000000,NORMAL,video_conference
2026-03-22T10:52:55.917721,7,5,8,716,0,0,4,208,0,0,0,11,72000000,NORMAL,video_conference
2026-03-22T10:52:55.917721,7,4294967294,20,1040,0,0,0,0,0,0,0,11,67000000,NORMAL,video_conference
2026-03-22T10:52:55.918004,9,1,5,260,0,0,1,52,0,0,0,11,82000000,NORMAL,video_conference
2026-03-22T10:52:55.918004,9,2,9,802,0,0,5,260,0,0,0,11,83000000,NORMAL,video_conference
2026-03-22T10:52:55.918004,9,3,8,716,0,0,5,260,0,0,0,11,83000000,NORMAL,video_conference
2026-03-22T10:52:55.918004,9,4,8,716,0,0,5,260,0,0,0,11,81000000,NORMAL,video_conference
2026-03-22T10:52:55.918004,9,5,8,716,0,0,5,260,0,0,0,11,84000000,NORMAL,video_conference
2026-03-22T10:52:55.918004,9,4294967294,21,1092,0,0,0,0,0,0,0,11,75000000,NORMAL,video_conference
2026-03-22T10:52:55.918280,8,1,5,260,0,0,1,52,0,0,0,11,93000000,NORMAL,video_conference
2026-03-22T10:52:55.918280,8,2,8,716,0,0,5,260,0,0,0,11,92000000,NORMAL,video_conference
2026-03-22T10:52:55.918280,8,3,8,716,0,0,5,260,0,0,0,11,93000000,NORMAL,video_conference
2026-03-22T10:52:55.918280,8,4,9,806,0,0,5,260,0,0,0,11,91000000,NORMAL,video_conference
2026-03-22T10:52:55.918280,8,5,8,716,0,0,5,260,0,0,0,11,92000000,NORMAL,video_conference
2026-03-22T10:52:55.918280,8,4294967294,21,1092,0,0,0,0,0,0,0,11,84000000,NORMAL,video_conference
2026-03-22T10:52:55.918546,5,1,6,312,0,0,2,104,0,0,0,11,60000000,NORMAL,video_conference
2026-03-22T10:52:55.918546,5,2,5,260,0,0,1,52,0,0,0,11,60000000,NORMAL,video_conference
2026-03-22T10:52:55.918546,5,3,1,52,0,0,5,260,0,0,0,11,60000000,NORMAL,video_conference
2026-03-22T10:52:55.918546,5,4294967294,8,416,0,0,0,0,0,0,0,11,53000000,NORMAL,video_conference
2026-03-22T10:52:55.918775,4,1,6,312,0,0,2,104,0,0,0,11,66000000,NORMAL,video_conference
2026-03-22T10:52:55.918775,4,2,5,260,0,0,1,52,0,0,0,11,66000000,NORMAL,video_conference
2026-03-22T10:52:55.918775,4,3,1,52,0,0,5,260,0,0,0,11,67000000,NORMAL,video_conference
2026-03-22T10:52:55.918775,4,4294967294,8,416,0,0,0,0,0,0,0,11,60000000,NORMAL,video_conference
2026-03-22T10:53:05.919436,1,1,10,520,0,0,2,104,0,0,0,21,141000000,NORMAL,video_conference
2026-03-22T10:53:05.919436,1,2,2,104,0,0,11,572,0,0,0,21,141000000,NORMAL,video_conference
2026-03-22T10:53:05.919436,1,3,2,104,0,0,11,572,0,0,0,21,140000000,NORMAL,video_conference
2026-03-22T10:53:05.919436,1,4,1,52,0,0,10,520,0,0,0,21,141000000,NORMAL,video_conference
2026-03-22T10:53:05.919436,1,4294967294,34,1768,0,0,0,0,0,0,0,21,135000000,NORMAL,video_conference
2026-03-22T10:53:05.919825,6,1,10,520,0,0,1,52,0,0,0,21,134000000,NORMAL,video_conference
2026-03-22T10:53:05.919825,6,2,11,572,0,0,2,104,0,0,0,21,135000000,NORMAL,video_conference
2026-03-22T10:53:05.919825,6,3,1,52,0,0,12,624,0,0,0,21,134000000,NORMAL,video_conference
2026-03-22T10:53:05.919825,6,4294967294,15,780,0,0,0,0,0,0,0,21,128000000,NORMAL,video_conference
2026-03-22T10:53:05.921454,3,1,2,104,0,0,10,520,0,0,0,21,117000000,NORMAL,video_conference
2026-03-22T10:53:05.921454,3,2,1,52,0,0,10,520,0,0,0,21,118000000,NORMAL,video_conference
2026-03-22T10:53:05.921454,3,3,9,468,0,0,1,52,0,0,0,21,115000000,NORMAL,video_conference
2026-03-22T10:53:05.921454,3,4294967294,21,1092,0,0,0,0,0,0,0,21,109000000,NORMAL,video_conference
2026-03-22T10:53:05.921566,5,1,11,572,0,0,2,104,0,0,0,21,67000000,NORMAL,video_conference
2026-03-22T10:53:05.921566,5,2,10,520,0,0,1,52,0,0,0,21,67000000,NORMAL,video_conference
2026-03-22T10:53:05.921566,5,3,1,52,0,0,10,520,0,0,0,21,67000000,NORMAL,video_conference
2026-03-22T10:53:05.921566,5,4294967294,13,676,0,0,0,0,0,0,0,21,60000000,NORMAL,video_conference
2026-03-22T10:53:05.921669,8,1,10,520,0,0,1,52,0,0,0,21,99000000,NORMAL,video_conference
2026-03-22T10:53:05.921669,8,2,9,786,0,0,10,520,0,0,0,21,98000000,NORMAL,video_conference
2026-03-22T10:53:05.921669,8,3,9,786,0,0,10,520,0,0,0,21,99000000,NORMAL,video_conference
2026-03-22T10:53:05.921669,8,4,10,876,0,0,10,520,0,0,0,21,97000000,NORMAL,video_conference
2026-03-22T10:53:05.921669,8,5,9,786,0,0,10,520,0,0,0,21,98000000,NORMAL,video_conference
2026-03-22T10:53:05.921669,8,4294967294,41,2132,0,0,0,0,0,0,0,21,90000000,NORMAL,video_conference
2026-03-22T10:53:05.921785,10,1,12,624,0,0,1,52,0,0,0,21,128000000,NORMAL,video_conference
2026-03-22T10:53:05.921785,10,2,10,872,0,0,12,624,0,0,0,21,126000000,NORMAL,video_conference
2026-03-22T10:53:05.921785,10,3,9,786,0,0,12,624,0,0,0,21,127000000,NORMAL,video_conference
2026-03-22T10:53:05.921785,10,4,9,786,0,0,12,624,0,0,0,21,128000000,NORMAL,video_conference
2026-03-22T10:53:05.921785,10,5,10,872,0,0,12,624,0,0,0,21,125000000,NORMAL,video_conference
2026-03-22T10:53:05.921785,10,4294967294,49,2548,0,0,0,0,0,0,0,21,118000000,NORMAL,video_conference
2026-03-22T10:53:05.921895,4,1,11,572,0,0,2,104,0,0,0,21,73000000,NORMAL,video_conference
2026-03-22T10:53:05.921895,4,2,10,520,0,0,1,52,0,0,0,21,73000000,NORMAL,video_conference
2026-03-22T10:53:05.921895,4,3,1,52,0,0,10,520,0,0,0,21,74000000,NORMAL,video_conference
2026-03-22T10:53:05.921895,4,4294967294,13,676,0,0,0,0,0,0,0,21,67000000,NORMAL,video_conference
2026-03-22T10:53:05.921994,9,1,10,520,0,0,1,52,0,0,0,21,89000000,NORMAL,video_conference
2026-03-22T10:53:05.921994,9,2,10,872,0,0,10,520,0,0,0,21,90000000,NORMAL,video_conference
2026-03-22T10:53:05.921994,9,3,9,786,0,0,10,520,0,0,0,21,90000000,NORMAL,video_conference
2026-03-22T10:53:05.921994,9,4,9,786,0,0,10,520,0,0,0,21,87000000,NORMAL,video_conference
2026-03-22T10:53:05.921994,9,5,9,786,0,0,10,520,0,0,0,21,91000000,NORMAL,video_conference
2026-03-22T10:53:05.921994,9,4294967294,41,2132,0,0,0,0,0,0,0,21,81000000,NORMAL,video_conference
2026-03-22T10:53:05.922104,2,1,10,520,0,0,1,52,0,0,0,21,104000000,NORMAL,video_conference
2026-03-22T10:53:05.922104,2,2,1,52,0,0,10,520,0,0,0,21,106000000,NORMAL,video_conference
2026-03-22T10:53:05.922104,2,3,1,52,0,0,10,520,0,0,0,21,105000000,NORMAL,video_conference
2026-03-22T10:53:05.922104,2,4,2,104,0,0,11,572,0,0,0,21,107000000,NORMAL,video_conference
2026-03-22T10:53:05.922104,2,4294967294,32,1664,0,0,0,0,0,0,0,21,100000000,NORMAL,video_conference
2026-03-22T10:53:05.922205,7,1,1,52,0,0,9,468,0,0,0,21,80000000,NORMAL,video_conference
2026-03-22T10:53:05.922205,7,2,9,786,0,0,9,468,0,0,0,21,81000000,NORMAL,video_conference
2026-03-22T10:53:05.922205,7,3,10,876,0,0,9,468,0,0,0,21,80000000,NORMAL,video_conference
2026-03-22T10:53:05.922205,7,4,9,786,0,0,9,468,0,0,0,21,81000000,NORMAL,video_conference
2026-03-22T10:53:05.922205,7,5,9,786,0,0,9,468,0,0,0,21,79000000,NORMAL,video_conference
2026-03-22T10:53:05.922205,7,4294967294,45,2340,0,0,0,0,0,0,0,21,74000000,NORMAL,video_conference
2026-03-22T10:53:15.926025,6,1,15,780,0,0,1,52,0,0,0,31,139000000,NORMAL,video_conference
2026-03-22T10:53:15.926025,6,2,16,832,0,0,2,104,0,0,0,31,140000000,NORMAL,video_conference
2026-03-22T10:53:15.926025,6,3,1,52,0,0,17,884,0,0,0,31,139000000,NORMAL,video_conference
2026-03-22T10:53:15.926025,6,4294967294,20,1040,0,0,0,0,0,0,0,31,133000000,NORMAL,video_conference
2026-03-22T10:53:15.926332,1,1,15,780,0,0,2,104,0,0,0,31,147000000,NORMAL,video_conference
2026-03-22T10:53:15.926332,1,2,2,104,0,0,16,832,0,0,0,31,147000000,NORMAL,video_conference
2026-03-22T10:53:15.926332,1,3,2,104,0,0,16,832,0,0,0,31,146000000,NORMAL,video_conference
2026-03-22T10:53:15.926332,1,4,1,52,0,0,15,780,0,0,0,31,147000000,NORMAL,video_conference
